Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,voltage,temperature,current,charge,capacity,design_capacity,percentage,power_supply_status,power_supply_health,power_supply_technology,present,location,serial_number
1737285479.143437,12976,1737285479,138962992,,0.0,0.0,-23.350000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.2434433,12977,1737285479,238853992,,0.0,0.0,-23.3700008392334,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.3447583,12978,1737285479,339740732,,0.0,0.0,-23.43000030517578,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.4467874,12979,1737285479,439872214,,0.0,0.0,-23.530000686645508,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.5428414,12980,1737285479,538661436,,0.0,0.0,-23.540000915527344,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.6507974,12981,1737285479,638839473,,0.0,0.0,-23.549999237060547,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.7443104,12982,1737285479,741326658,,0.0,0.0,-23.5,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.8461363,12983,1737285479,839763102,,0.0,0.0,-23.459999084472656,nan,nan,nan,0.0,2,0,0,True,id0,
1737285479.9452798,12984,1737285479,939429584,,0.0,0.0,-23.420000076293945,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.045888,12985,1737285480,38803250,,0.0,0.0,-23.420000076293945,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.14875,12986,1737285480,147382732,,0.0,0.0,-23.40999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.2445705,12987,1737285480,238916565,,0.0,0.0,-23.389999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.3560128,12988,1737285480,339254213,,0.0,0.0,-23.350000381469727,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.4461422,12989,1737285480,441766435,,0.0,0.0,-23.260000228881836,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.5440755,12990,1737285480,542702158,,0.0,0.0,-23.270000457763672,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.6429956,12991,1737285480,638894287,,0.0,0.0,-23.190000534057617,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.7440455,12992,1737285480,739579065,,0.0,0.0,-23.239999771118164,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.8438003,12993,1737285480,840065509,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285480.9461408,12994,1737285480,939467417,,0.0,0.0,-23.34000015258789,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.0429828,12995,1737285481,38757176,,0.0,0.0,-23.389999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.1438003,12996,1737285481,139347602,,0.0,0.0,-23.389999389648438,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.2447386,12997,1737285481,238986583,,0.0,0.0,-23.40999984741211,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.3456378,12998,1737285481,339590009,,0.0,0.0,-23.420000076293945,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.450086,12999,1737285481,439486583,,0.0,0.0,-23.399999618530273,nan,nan,nan,0.0,2,0,0,True,0.0,id0,
1737285481.5460246,13000,1737285481,541457361,,0.0,0.0,-23.360000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.6441023,13001,1737285481,639159231,,0.0,0.0,-23.329999923706055,nan,nan,nan,0.0,2,0,0,True,id0,
1737285481.7472491,13002,1737285481,739158842,,0.0,0.0,-23.360000610351562,nan,nan,nan,0.0,2,0,0,True,id0,
