Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1737286273.2468634,20914,1737286273,241968536,,1464,1442,1434,1828,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.3477232,20915,1737286273,341955328,,1422,1477,1699,1613,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.448581,20916,1737286273,441935120,,1400,1491,1704,1611,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.548293,20917,1737286273,541958912,,1439,1463,1555,1758,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.6485033,20918,1737286273,641952704,,1432,1469,1581,1740,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.7481585,20919,1737286273,741949496,,1357,1540,1695,1639,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.844492,20920,1737286273,841894288,,1449,1455,1760,1561,0,0,0,0,0,0,0,0,0,0,0,0
1737286273.9480658,20921,1737286273,941982080,,1359,1530,1726,1604,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.0460713,20922,1737286274,41952384,,1215,1615,1811,1499,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.1456993,20923,1737286274,142043432,,1458,1443,1624,1716,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.2464094,20924,1737286274,241953736,,1488,1409,1498,1815,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.348413,20925,1737286274,341894528,,1385,1501,1697,1646,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.4451296,20926,1737286274,441958576,,1295,1567,1806,1511,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.544877,20927,1737286274,541983624,,1404,1490,1784,1541,0,0,0,0,0,0,0,0,0,0,0,0
1737286274.64456,20928,1737286274,641901672,,1429,1467,1608,1725,0,0,0,0,0,0,0,0,0,0,0,0
